Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
Ryan Yarbrough\yarbrry01,4/8/18,TBR,BOS,L 7-8,6-Mar,4,2,1,1,3,3,0,0,73,44,,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.153,1.126,1.631,10,18
Ryan Yarbrough\yarbrry01,4/28/18,TBR,BOS,W 12-6,3-6 W,4,3,2,2,0,6,1,0,48,36,,3,0,15,15,1,0,0,0,0,0,0,0,0,0,0,0,4.5,0.197,1.972,1.511,19.2,36
Ryan Yarbrough\yarbrry01,5/4/18,TBR,TOR,W 6-2,3-7 W,5,1,0,0,0,4,0,0,58,40,,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,2.478,0.92,22.65,39
Ryan Yarbrough\yarbrry01,5/19/18,TBR,LAA,W 5-3,2-8 W,6.1,4,1,1,1,4,0,0,92,60,,0,0,23,22,2,0,0,0,0,0,1,1,0,0,0,0,1.42,0.187,1.948,0.59,21.25,40
Ryan Yarbrough\yarbrry01,5/25/18,TBR,BAL,L 0-2,8-Jan,7,7,1,1,0,8,1,0,105,73,,2,0,26,26,0,0,0,0,0,0,2,0,0,0,0,0,1.29,0.213,2.839,0.75,25.55,42
Anthony Banda\bandaan01,5/26/18,TBR,BAL,W 5-1,2-8 W,6.1,3,1,1,1,7,0,0,81,54,,0,0,23,22,1,1,0,0,0,0,0,0,0,0,0,0,1.42,0.127,2.076,0.405,27.85,49
Austin Pruitt\pruitau01,5/27/18,TBR,BAL,W 8-3,4-GF S,5.2,3,0,0,0,5,0,0,63,45,,0,0,19,19,2,0,0,0,0,0,1,0,0,0,0,0,0,0.128,2.739,0.352,20.95,32
Ryan Yarbrough\yarbrry01,5/31/18,TBR,OAK,L 3-7,7-Feb,5.2,5,3,3,3,9,2,0,100,65,,2,2,27,24,1,0,2,0,0,0,0,0,0,0,0,0,4.76,-0.162,-1.581,0.526,19.95,35
Austin Pruitt\pruitau01,6/1/18,TBR,SEA,L 3-4,7-Feb,5,7,3,3,0,3,0,0,79,58,,1,0,22,22,1,1,0,0,0,0,0,0,0,0,0,0,5.4,-0.068,-0.347,0.947,7.05,15
Ryan Yarbrough\yarbrry01,6/6/18,TBR,WSN,L 2-11,6-Jan,5.1,10,5,4,2,3,0,1,99,66,,2,2,27,25,2,0,1,0,0,0,0,1,0,0,0,0,6.75,-0.07,-2.347,0.303,2.8,13
Austin Pruitt\pruitau01,6/7/18,TBR,SEA,L 4-5,2-8 L,7,7,5,5,1,6,2,0,93,67,,0,0,28,26,0,0,0,0,0,1,0,0,1,0,0,0,6.43,-0.276,-1.532,0.504,12.95,24
