Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
Andrew Kittredge\kittran01,4/8/18,TBR,BOS,L 7-8,GS-2,2,2,1,1,0,1,0,0,33,22,49,,,8,8,1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0.063,1.02,3.3,6
Yonny Chirinos\chiriyo01,4/28/18,TBR,BOS,W 12-6,GS-3,2,6,3,3,2,3,0,0,53,31,33,,,14,10,1,0,0,1,0,1,1,0,0,0,0,2,13.5,-0.408,-3.783,1.579,-0.9,6
Andrew Kittredge\kittran01,5/4/18,TBR,TOR,W 6-2,GS-2,2,2,1,1,1,1,0,0,36,26,48,,,9,7,1,0,0,0,0,1,0,0,0,0,0,0,4.5,-0.01,-0.009,1.008,2.7,6
Sergio Romo\romose01,5/19/18,TBR,LAA,W 5-3,GS-1,1,0,0,0,0,3,0,0,18,10,56,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.496,0.63,8.25,12
Sergio Romo\romose01,5/25/18,TBR,BAL,L 0-2,GS-1 L,0.2,2,1,1,0,1,0,0,14,12,45,,,5,5,1,0,0,0,0,0,0,0,0,0,0,1,13.5,-0.108,-1.103,1.01,0.3,2
Ryne Stanek\stanery01,5/26/18,TBR,BAL,W 5-1,GS-2,1.2,0,0,0,0,3,0,0,21,14,58,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.888,0.69,9.75,14
Sergio Romo\romose01,5/27/18,TBR,BAL,W 8-3,GS-1,0.1,2,3,3,1,0,0,0,15,8,34,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,81,-0.098,-1.073,1.145,-7.05,-8
Ryne Stanek\stanery01,5/31/18,TBR,OAK,L 3-7,GS-2 L,1.1,1,2,2,1,0,0,0,25,15,43,,,6,5,1,0,0,0,0,0,0,0,0,0,0,0,13.5,0.009,0.089,0.893,-2.2,-2
Sergio Romo\romose01,6/1/18,TBR,SEA,L 3-4,GS-2,1.1,0,0,0,1,0,0,0,25,16,53,,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.453,0.694,2.4,4
Jonny Venters\ventejo01,6/6/18,TBR,WSN,L 2-11,GS-1 L,0.1,3,5,5,2,1,0,0,23,11,24,,,6,4,2,0,0,0,0,0,0,0,0,0,0,0,135,-0.304,-3.906,1.182,-10.25,-11
