Rk,Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
46,Hunter Wood\woodhu01,7/3/18,TBR,MIA,W 9-6,8-Jun,3,0,0,0,1,0,0,0,37,19,,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,1.289,1.207,6.15,9
47,Hunter Wood\woodhu01,9/21/18,TBR,TOR,W 11-3,6-Jun,0.1,0,0,0,0,0,0,0,2,1,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.228,0.34,0.75,1
48,Hunter Wood\woodhu01,9/26/18,TBR,NYY,W 8-7,8-8 H,0.2,0,0,0,0,0,0,0,8,5,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.393,1.865,1.5,2
49,Hunter Wood\woodhu01,7/23/18,TBR,NYY,W 7-6,GS-2,2,2,1,1,1,2,0,0,37,22,49,,,9,8,1,0,0,0,0,0,0,0,0,0,0,0,4.5,-0.008,-0.009,1.354,4.7,9
50,Hunter Wood\woodhu01,7/4/18,TBR,MIA,L 0-3,8-GF(8),1,1,1,1,0,2,1,0,22,13,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,-0.025,-0.57,0.128,3.65,6
51,Hunter Wood\woodhu01,5/27/19,TBR,TOR,W 8-3,7-Jul,1,1,2,2,1,1,1,0,19,9,,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,18,-0.054,-1.479,0.698,-0.95,0
52,Hunter Wood\woodhu01,4/18/19,TBR,BAL,L 5-6,GS-2,2,2,0,0,1,1,0,0,38,24,52,,,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.102,1.043,1.062,4.7,9
53,Hunter Wood\woodhu01,9/27/18,TBR,NYY,L 1-12,8-Aug,1,0,0,0,1,1,0,0,21,10,,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496,0,3.65,6
54,Hunter Wood\woodhu01,9/7/18,TBR,BAL,W 14-2,9-GF,1,0,0,0,0,3,0,0,12,9,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496,0,8.25,12
55,Hunter Wood\woodhu01,8/11/18,TBR,TOR,W 3-1,7-7 H,1,1,0,0,1,0,0,0,16,8,,0,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.108,0.496,2.072,1.05,3
56,Hunter Wood\woodhu01,7/9/18,TBR,DET,W 10-9,6-Apr,2.2,0,0,0,1,2,0,0,30,19,,2,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,1.898,0.652,9.4,14
57,Hunter Wood\woodhu01,4/14/19,TBR,TOR,W 8-4,8-Aug,1,1,0,0,0,2,0,0,13,13,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.517,0.148,5.65,9
58,Hunter Wood\woodhu01,5/24/19,TBR,CLE,L 1-3,8-GF(8),0.1,0,0,0,0,1,0,0,3,3,,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.81,0.81,2.75,4
59,Hunter Wood\woodhu01,8/9/18,TBR,BAL,W 5-4,GS-2,2,5,3,3,1,1,0,0,34,22,34,,,10,9,1,1,0,0,0,0,2,0,0,0,0,0,13.5,-0.206,-2.009,1.22,-3.1,0
60,Hunter Wood\woodhu01,7/13/18,TBR,MIN,L 8-11,7-Jul,1,1,1,1,1,1,0,0,21,12,,0,0,5,3,0,1,0,0,0,1,0,0,0,0,0,0,9,-0.022,-0.479,0.2,1.05,3
