Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
Ryan Yarbrough\yarbrry01,4/8/18,TBR,BOS,L 7-8,6-Mar,4,2,1,1,3,3,0,0,73,44,,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.153,1.126,1.631,10,18
Ryan Yarbrough\yarbrry01,4/28/18,TBR,BOS,W 12-6,3-6 W,4,3,2,2,0,6,1,0,48,36,,3,0,15,15,1,0,0,0,0,0,0,0,0,0,0,0,4.5,0.197,1.972,1.511,19.2,36
Ryan Yarbrough\yarbrry01,5/4/18,TBR,TOR,W 6-2,3-7 W,5,1,0,0,0,4,0,0,58,40,,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,2.478,0.92,22.65,39
Ryan Yarbrough\yarbrry01,5/19/18,TBR,LAA,W 5-3,2-8 W,6.1,4,1,1,1,4,0,0,92,60,,0,0,23,22,2,0,0,0,0,0,1,1,0,0,0,0,1.42,0.187,1.948,0.59,21.25,40
Ryan Yarbrough\yarbrry01,5/25/18,TBR,BAL,L 0-2,8-Jan,7,7,1,1,0,8,1,0,105,73,,2,0,26,26,0,0,0,0,0,0,2,0,0,0,0,0,1.29,0.213,2.839,0.75,25.55,42
Ryan Yarbrough\yarbrry01,5/31/18,TBR,OAK,L 3-7,7-Feb,5.2,5,3,3,3,9,2,0,100,65,,2,2,27,24,1,0,2,0,0,0,0,0,0,0,0,0,4.76,-0.162,-1.581,0.526,19.95,35
Ryan Yarbrough\yarbrry01,6/6/18,TBR,WSN,L 2-11,6-Jan,5.1,10,5,4,2,3,0,1,99,66,,2,2,27,25,2,0,1,0,0,0,0,1,0,0,0,0,6.75,-0.07,-2.347,0.303,2.8,13
Ryan Yarbrough\yarbrry01,6/16/18,TBR,NYY,L 1-4,2-5 L,3.2,6,4,4,3,4,2,0,97,56,,0,0,21,18,2,0,0,0,0,0,0,1,0,0,0,0,9.82,-0.208,-2.123,0.881,2.85,11
Ryan Yarbrough\yarbrry01,6/28/18,TBR,HOU,L 0-1,2-8 L,6.1,7,1,1,1,4,1,0,95,62,,1,0,25,23,0,0,0,1,0,0,2,0,1,0,0,0,1.42,0.21,2.201,1.07,14.85,28
Ryan Yarbrough\yarbrry01,7/21/18,TBR,MIA,L 2-3,2-5 L,4,2,2,2,2,3,0,0,69,45,,0,0,16,14,1,0,0,0,0,0,0,0,0,0,0,0,4.5,-0.038,-0.018,1.016,8.6,15
Ryan Yarbrough\yarbrry01,7/26/18,TBR,BAL,W 4-3,2-6 W,4.1,6,2,2,2,0,1,0,92,61,,2,0,21,19,2,0,0,0,0,0,0,0,0,0,0,0,4.15,0.014,0.396,1.369,4.95,19
Ryan Yarbrough\yarbrry01,7/31/18,TBR,LAA,W 10-6,2-7 W,5,9,6,6,0,4,2,0,91,63,,0,0,25,24,2,0,0,1,0,0,0,0,0,0,0,0,10.8,0.036,-3.523,0.647,5.25,21
Ryan Yarbrough\yarbrry01,8/5/18,TBR,CHW,L 7-8,7-Feb,5.1,6,5,5,3,6,2,0,94,57,,2,0,24,20,1,0,0,0,1,0,1,0,0,0,0,0,8.44,-0.328,-2.088,1.127,8.6,19
Ryan Yarbrough\yarbrry01,8/20/18,TBR,KCR,W 1-0,2-7 W,5.1,2,0,0,1,6,0,0,73,51,,2,0,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0.407,2.912,1.361,26.2,46
Ryan Yarbrough\yarbrry01,9/2/18,TBR,CLE,W 6-4,2-7 W,5,2,1,1,1,3,0,0,67,42,,1,0,17,16,1,0,0,0,0,0,0,0,1,0,0,0,1.8,0.325,1.657,0.968,17.45,33
Ryan Yarbrough\yarbrry01,9/19/18,TBR,TEX,W 9-3,2-6 W,4,5,3,3,2,6,1,0,63,44,,1,0,19,17,1,0,0,0,0,0,0,0,0,0,0,0,6.75,0.034,0.099,0.655,14.8,33
Ryan Yarbrough\yarbrry01,9/24/18,TBR,NYY,L 1-4,4-8 L,5,5,3,3,2,3,0,0,89,58,,0,0,22,19,4,0,0,1,0,0,0,0,0,0,0,0,5.4,-0.173,-0.523,0.722,6.45,15
Ryan Yarbrough\yarbrry01,4/1/19,TBR,COL,W 7-1,2-6 W,4.1,3,1,1,0,3,0,0,57,37,,0,0,16,15,0,0,0,1,0,0,1,0,0,0,0,0,2.08,0.172,1.677,1.023,15.35,31
