Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,1,3,Mar 31,TBR,,BOS,L2-3,8-Apr,,99,4,4,1,1,3,3,0,0,2.25,20,73,43,11,3,3,11,5,3,0,,1,1,1,0,0,17,2,0,0,0,0,1,0.78,-0.055,-0.25,8.8,18,4t -2- 1 out d1,8t 12- 1 out d2
2,2,7,Apr 5,TBR,@,BOS,L2-3,12-GF(12),,4,0,1,0,0,1,0,0,0,2.25,2,9,5,1,0,0,1,1,0,0,,2,1,1,0,0,1,0,0,0,0,0,0,4.89,-0.174,-1.39,-1.2,0,12b 1-3 1 out tie,12b end d 1
4,4,15,Apr 15,TBR,,PHI,L4-10,GS-5,L(0-1),6,4.2,3,5,2,2,2,0,1,2.84,21,88,58,12,5,5,11,4,2,0,44,,,0,0,0,18,2,0,0,0,0,1,1.24,-0.249,-1.88,6.9,14,1t start tie,5t --3 2 out d1
5,5,19,Apr 20,TBR,,MIN,W8-7,9-Aug,,4,1.1,1,1,1,0,2,1,0,3.21,5,12,10,3,3,0,3,1,2,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.18,-0.277,-0.4,4.4,7,8t --- 2 out tie,9t 3 out d1
6,6,21,Apr 22,TBR,,MIN,W8-6,7-May,,1,1.1,1,2,2,1,0,0,1,4.11,7,26,17,4,1,0,5,1,2,0,,1,0,0,0,0,5,1,0,0,0,0,0,1.25,-0.12,-0.66,-2.8,-2,5t 1-- 2 out tie,7t 1-- 0 out a3
9,9,34,May 9,TBR,,ATL,L2-5,GS-5,L(2-2),4,5,6,5,5,0,7,1,1,4.3,22,79,52,11,9,7,7,3,2,0,42,,,2,0,0,20,0,0,0,0,1,0,0.78,-0.27,-2.52,11.05,21,1t start tie,5t 3 out d5
10,10,39,May 14,TBR,@,KCR,W2-1,GS-5,W(3-2),4,5,5,1,1,3,4,1,0,3.93,21,83,50,15,4,6,8,5,0,0,54,,,0,0,0,18,0,0,0,2,0,0,1.26,0.167,1.53,16.45,36,1b start a 1,5b 3 out tie
15,15,65,Jun 11,TBR,,TOR,W8-4,GS-6,W(5-2),4,6,7,4,4,1,4,1,0,3.9,25,88,59,12,12,8,12,6,3,0,45,,,0,0,0,24,2,0,0,0,0,0,1.08,-0.11,-1.03,12.7,30,1t start tie,6t 3 out a1
17,17,75,Jun 22,TBR,,NYY,W2-1,5-Feb,W(6-3),5,3.1,1,0,0,3,4,0,0,4.02,14,65,40,10,6,2,5,2,1,0,,0,0,0,0,0,11,1,0,0,0,0,0,1.14,0.198,1.72,17.1,34,2t --- 0 out tie,5t --- 1 out a1
18,18,77,Jun 24,TBR,,NYY,W7-6,12-GF(12),W(7-3),1,1,0,0,0,1,0,0,0,3.96,4,11,6,1,1,3,0,0,0,0,,1,0,0,0,0,3,0,0,1,0,0,0,4.02,0.218,0.88,5.65,15,12t 1-- 0 out tie,12t end tie
20,20,85,Jul 3,TBR,@,MIA,W9-6,GS-3,,4,3,4,2,2,1,3,0,0,3.84,14,46,33,11,1,5,5,5,0,0,45,,,0,0,0,13,1,0,1,0,0,0,1.03,-0.016,-0.71,5.75,12,1b start a 2,3b 3 out a2
21,21,87,Jul 6,TBR,@,NYM,L1-5,4-Mar,,2,2,1,1,0,2,3,0,0,3.75,10,35,22,8,5,3,2,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,1,1.18,-0.044,-0.13,8.7,15,3b --- 0 out tie,4b 3 out d1
22,22,92,Jul 11,TBR,,DET,W4-2,7-May,W(8-4),4,3,1,0,0,0,4,0,0,3.62,10,38,29,13,3,2,4,4,0,0,,0,0,0,0,0,10,1,0,0,0,0,0,0.78,0.162,1.49,18.15,33,5t --- 0 out d1,7t 3 out d1
23,23,94,Jul 13,TBR,@,MIN,L8-11,6-Jun,,1,1,2,1,1,0,1,0,0,3.68,4,14,9,4,1,1,2,2,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,0.77,-0.094,-0.85,1.05,3,6b -2- 0 out d1,6b 3 out d3
24,24,96,Jul 15,TBR,@,MIN,L7-11,6-Apr,H(1),1,1.2,1,0,0,1,2,0,1,3.61,8,35,22,6,5,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.01,0.016,0.22,5.95,11,4b --- 2 out a2,6b 12- 1 out a3
29,29,118,Aug 12,TBR,@,TOR,L1-2,7-GF(8),,6,2,1,0,0,0,1,0,0,4.16,6,20,14,3,1,2,3,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,0.6,0.073,0.99,5.9,9,7b --- 0 out d1,8b end d 1
30,30,120,Aug 15,TBR,@,NYY,W6-1,8-May,W(11-5),2,4,2,0,0,0,3,0,1,4.01,15,55,37,11,4,4,7,2,1,0,,0,0,0,0,0,14,2,0,0,0,0,0,0.46,0.094,2.13,17.2,33,5b --- 0 out a5,8b 3 out a5
32,32,130,Aug 25,TBR,,BOS,W5-1,GS-6,,4,5,5,1,1,1,2,0,0,3.75,20,75,48,13,1,5,12,7,2,0,54,,,1,0,0,19,2,0,0,1,0,0,1.03,0.099,1.1,9.65,18,1t start tie,6t 1-- 0 out tie
