Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
Ryne Stanek\stanery01,5/26/18,TBR,BAL,W 5-1,GS-2,1.2,0,0,0,0,3,0,0,21,14,58,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.888,0.69,9.75,14
Ryne Stanek\stanery01,5/31/18,TBR,OAK,L 3-7,GS-2 L,1.1,1,2,2,1,0,0,0,25,15,43,,,6,5,1,0,0,0,0,0,0,0,0,0,0,0,13.5,0.009,0.089,0.893,-2.2,-2
Ryne Stanek\stanery01,6/7/18,TBR,SEA,L 4-5,GS-1,1,1,0,0,2,2,0,0,30,15,51,,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.496,1.66,4.45,9
Ryne Stanek\stanery01,6/16/18,TBR,NYY,L 1-4,GS-2,1.1,1,0,0,0,1,0,0,21,12,53,,,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.78,0.946,4.4,7
Ryne Stanek\stanery01,6/28/18,TBR,HOU,L 0-1,GS-2,1.2,0,0,0,2,3,0,0,32,18,56,,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.763,0.669,8.55,14
Ryne Stanek\stanery01,6/30/18,TBR,HOU,W 5-2,GS-1,1,1,0,0,0,2,0,0,14,9,53,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.496,0.67,5.65,9
Ryne Stanek\stanery01,7/21/18,TBR,MIA,L 2-3,GS-1,1,1,0,0,1,1,0,0,25,16,51,,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.496,1.402,3.05,6
Ryne Stanek\stanery01,7/28/18,TBR,BAL,L 2-11,GS-2 L,2,2,3,3,2,1,2,0,36,20,39,,,9,7,0,0,0,0,0,0,1,0,0,0,0,0,13.5,-0.232,-2.018,0.894,-1.9,0
Ryne Stanek\stanery01,7/31/18,TBR,LAA,W 10-6,GS-1,1,1,0,0,1,1,0,0,18,12,51,,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.496,1.174,3.05,6
Ryne Stanek\stanery01,8/8/18,TBR,BAL,L 4-5,GS-2,2,2,2,2,0,4,2,0,36,25,48,,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,9,-0.102,-1.009,0.605,7.3,12
Ryne Stanek\stanery01,8/22/18,TBR,KCR,W 6-3,GS-2,2,0,0,0,0,2,0,0,22,15,58,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0.991,0.648,8.5,12
Ryne Stanek\stanery01,8/28/18,TBR,ATL,L 5-9,GS-1,1,1,0,0,0,1,0,0,11,7,52,,,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.047,0.483,0.763,3.65,6
Ryne Stanek\stanery01,9/3/18,TBR,TOR,W 7-1,GS-1,1,0,0,0,0,1,0,0,16,11,54,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.496,0.663,4.25,6
Ryne Stanek\stanery01,9/9/18,TBR,BAL,W 8-3,GS-1,0.1,0,0,0,3,0,0,0,15,3,48,,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.038,-0.412,1.02,-1.05,1
Ryne Stanek\stanery01,9/15/18,TBR,OAK,W 7-5,GS-1,1,1,0,0,0,2,0,0,16,12,53,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.048,0.496,1.172,5.65,9
Ryne Stanek\stanery01,9/20/18,TBR,TOR,L 8-9,GS-2,1,3,2,2,0,1,1,0,17,13,40,,,6,6,1,0,0,0,0,0,0,0,0,0,0,0,18,-0.177,-1.887,0.785,-1.55,0
Ryne Stanek\stanery01,9/26/18,TBR,NYY,W 8-7,GS-1,1,2,3,3,1,2,1,0,30,17,38,,,6,5,0,0,0,0,0,0,0,0,0,0,0,0,27,-0.239,-2.505,1.022,-1.55,0
Ryne Stanek\stanery01,4/1/19,TBR,COL,W 7-1,GS-1,1,1,0,0,0,3,0,0,19,12,54,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.522,0.67,7.65,12
Ryne Stanek\stanery01,4/17/19,TBR,BAL,W 8-1,GS-1,1,1,0,0,0,3,0,0,14,10,54,,,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.522,0.75,7.65,12
Ryne Stanek\stanery01,4/23/19,TBR,KCR,W 5-2,GS-2,1.1,1,0,0,0,0,0,0,13,12,52,,,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003,0.086,0.708,2.4,4
Ryne Stanek\stanery01,4/29/19,TBR,KCR,W 8-5,GS-2,1.1,1,0,0,0,1,0,0,15,10,53,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.521,0.808,4.4,7
Ryne Stanek\stanery01,2019-05-01Ê(1),TBR,KCR,L 2-3,GS-1 L,1,3,3,3,1,0,1,0,28,18,34,,,7,6,2,0,0,0,0,0,0,2,0,0,0,0,27,-0.223,-2.461,0.889,-6.15,-6
Ryne Stanek\stanery01,5/11/19,TBR,NYY,W 7-2,GS-2,2,1,0,0,0,1,0,0,26,16,55,,,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.101,1.045,0.849,5.9,9
Ryne Stanek\stanery01,5/17/19,TBR,NYY,L 3-4,GS-2,2,1,1,1,0,3,1,0,26,14,53,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4.5,-0.007,0.078,0.639,7.9,12
Ryne Stanek\stanery01,5/26/19,TBR,CLE,W 6-3,GS-2,1.2,2,0,0,0,3,0,0,27,21,54,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0.993,0.999,8.55,14
