Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,22,33,May 8,TBR,,ATL,L0-1,8-Jul,,99,1.2,0,0,0,2,4,0,0,0,8,40,23,8,4,0,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.93,0.082,0.76,10.55,17,7t --- 1 out d1,8t 3 out d1
2,23,35,May 11,TBR,@,BAL,L4-9,7-Jul,,2,1,1,1,1,0,2,1,0,3.38,4,10,8,0,4,0,2,0,0,0,,3,3,0,0,0,4,0,0,0,0,0,0,0.39,-0.019,-1.67,3.65,6,7b 123 0 out d3,7b 3 out d7
3,24,36,May 12(1),TBR,@,BAL,L3-6,8-GF(8),,0,1,0,0,0,0,1,0,0,2.45,3,14,7,0,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.49,4.25,6,8b --- 0 out d3,8b end d 3
4,25,44,May 19,TBR,@,LAA,W5-3,9-Sep,,6,0,2,2,2,0,0,1,0,7.36,2,6,5,3,0,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.68,-0.072,-2,-5.2,-6,9b --- 0 out a4,9b --- 0 out a2
5,26,46,May 22,TBR,,BOS,L2-4,9-GF,,2,1,1,0,0,1,1,0,0,5.79,4,20,8,4,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.28,0.017,0.5,3.05,6,9t --- 0 out d2,9t end d 2
6,27,47,May 23,TBR,,BOS,L1-4,9-GF,,0,0.1,0,0,0,0,0,0,0,5.4,1,3,3,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0.07,0.002,0.1,0.75,1,9t --- 2 out d3,9t end d 3
8,29,52,May 28,TBR,@,OAK,W1-0,13-Dec,W(1-0),1,1.2,1,0,0,2,0,0,0,3.24,8,29,16,2,3,2,4,2,2,0,,0,0,0,0,0,6,1,0,1,0,0,0,3.05,0.24,0.77,5.95,17,12b --- 0 out tie,13b 1-- 2 out a1
10,31,57,Jun 2,TBR,@,SEA,L1-3,7-GF(8),,1,1.2,0,0,0,0,1,0,0,3.97,5,15,10,1,2,1,3,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,0.28,0.036,0.99,5.75,8,7b 1-- 1 out d2,8b end d 2
11,32,59,Jun 5,TBR,@,WSN,L2-4,8-GF(8),,2,1,0,0,0,0,3,0,0,3.65,3,15,10,3,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.19,0.015,0.51,8.25,12,8b --- 0 out d2,8b end d 2
13,34,64,Jun 10,TBR,,SEA,L4-5,9-GF,,2,1,1,0,0,1,1,0,0,3.14,5,24,13,5,2,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.67,0.037,0.5,3.05,6,9t --- 0 out d1,9t end d 1
